"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Logbook","2025-3-13","","Separate the creation of onboarding script runs from the enqueuement of the tasks to avoid celery issue.","","","","","","","https://app.datadoghq.com/logs?query=service%3Acanary-celery%20status%3Aerror%20%40error%3A%22OnboardingScriptRun%20matching%20query%20does%20not%20exist.%22&agg_m=count&agg_m_source=base&agg_q=%40error&agg_q_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=sliding&storage=hot&stream_sort=desc&top_n=25&top_o=top&viz=stream&x_missing=true&from_ts=1741797903467&to_ts=1741812303467&live=true",
"Task","Standalone","Logbook","2025-3-13","","ticket: fix json serialization error","","","","","","","Trying to serialize a set during event creation.https://app.datadoghq.com/logs?query=%40CTX_onboarding_script__plan_names%3A%2A%20service%3Acanary-celery%20status%3Aerror&agg_m=count&agg_m_source=base&agg_q=%40error&agg_q_source=base&agg_t=count&cols=host%2Cservice&event=AwAAAZWLfk6T-N6oVAAAABhBWldMZmxJQkFBQ1BGeFVnTFJGMDlnQUwAAAAkMDE5NThiODAtY2U1Ny00Mzk5LThhMzAtYmM4NzcxYzQ4ZDBjAAedZA&fromUser=true&messageDisplay=inline&panel=%7B%22queryString%22%3A%22%40error%3A%5C%22TypeError%28%27Object%20of%20type%20set%20is%20not%20JSON%20serializable%27%29%5C%22%22%2C%22filters%22%3A%5B%7B%22isClicked%22%3Atrue%2C%22source%22%3A%22log%22%2C%22path%22%3A%22error%22%2C%22value%22%3A%22TypeError%28%27Object%20of%20type%20set%20is%20not%20JSON%20serializable%27%29%22%7D%5D%2C%22timeRange%22%3A%7B%22from%22%3A1741797918000%2C%22to%22%3A1741812318000%2C%22live%22%3Atrue%7D%7D&refresh_mode=sliding&storage=hot&stream_sort=desc&top_n=10&top_o=top&viz=query_table&x_missing=true&from_ts=1741797903467&to_ts=1741812303467&live=true",
"Task","Standalone","Logbook","2025-3-13","","If you try to run again on a completed OSR, it wips out the results and sets it to failed.","","","","","","","",
"Task","Standalone","Logbook","2025-3-13","","ticket and assign wyndham eu","","","","","","","https://linear.app/canary-technologies/issue/ENT-2804/update-wyndham-portfolio-contact-details-drop-down-in-eu",
"Task","Standalone","Logbook","2025-3-13","","sprint planning","","","","","","","",
"Task","Standalone","Logbook","2025-3-13","","activate role-based","","","","","","","https://linear.app/canary-technologies/issue/ENT-2914/add-wyndham-eu-property-to-portolio#comment-3543e986",
"Task","Standalone","Logbook","2025-3-24","Yes","find Blake's enterprise notion and go thorugh","","","","","","2025-03-24","",
"Task","Standalone","Logbook","2025-3-17","","Map onboarding plans to code links for CSwords","","","","","","","",
"Task","Standalone","Logbook","2025-3-19","Yes","Set up intros to other pods for Rami","","","","","","2025-03-19","",
"Task","Planning improvements","Logbook","2025-9-30","","I need to get the same type of data that jordan has  on new/old work. LINEAR TAGS","","","","","","","",
"Task","People","Next","","","create list of painful tech debt","","","","","","","",
"Task","Standalone","Logbook","2025-3-17","Yes","Change BW reg card text","","","","","","2025-03-17","https://linear.app/canary-technologies/issue/BW-149/change-reg-card-text-across-all-sites",
"Task","Standalone","Logbook","2025-3-17","","Amadeus service user investigation","","","","","","","https://linear.app/canary-technologies/issue/ENT-2933/amadeus-service-user-blocking-onboarding",
"Task","Standalone","Logbook","2025-3-24","Yes","Add links to home page","","","","","","2025-03-23","user data importsdatadog searchesportfolioportfolio hotelmonitored hotel statesonboarding valuerolerole grantsso org",
"Task","Automate onboarding batches","Logbook","2025-3-18","","Create cohort hotels outside of cohort","","","","","","","* Create* import data from SF* create onboarding values*",
"Task","Automate onboarding batches","Logbook","2025-3-17","","model training date and/or batch","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","Unique together cohort hotel and onboarding type.","","","","","","","",
"Task","Wyndham","Logbook","2025-3-28","Yes","Check for ?Wyndham GDPRs","","","","","","2025-03-17","",
"Task","Automate onboarding batches","Logbook","2025-3-18","","assign work to automate batches -","","","","","","","",
"Project","Standalone","Logbook","2025-9-29","","Planning improvements","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","cohort hotel - use schemafield, drop name","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","Display name from SF data","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","Expandable row in cohort table","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","Display onboarding values","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-17","","Edit onboarding vlaues","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-21","","Ability to update CohortHotel training info","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","OnboardingScriptBatch detail","","","","","","","Load OSH rowsTable with Expandable OSR rowsFilter and searchActions * Run OSH* Run OSB",
"Task","Standalone","Logbook","2025-3-19","Yes","Practical intro to the communication guidelines document","","","","","","2025-03-19","https://www.notion.so/canarytechnologies/Communication-Guidelines-15d81468615180ea867fc1e024df5f9a",
"Task","Standalone","Logbook","2025-3-18","","Write up flows for monitoring for Ryan","","","","","","","",
"Task","Standalone","Logbook","2025-3-18","","Comment on monthly goal for Blake to approce","","","","","","","",
"Task","Standalone","Logbook","2025-3-18","","Fix this issue","","","","","","","https://linear.app/canary-technologies/issue/ENT-2937/user-cannot-be-managed-by-anyone-at-hotel#comment-cc57d4b9",
"Task","Automate onboarding batches","Logbook","2025-3-18","","Onboarding value","","","","","","","Narrow presentation with overflow ellipsisProgrammatic way of listing all rlevant values for an onboarding type in the cohort hotel rowProgrammatic way of saying whether has all required attrs",
"Task","Automate onboarding batches","Logbook","2025-3-19","","Cohort row context menu actions","","","","","","","Update salesforce datamove to cohort",
"Task","Standalone","Logbook","2025-3-18","","Investigate/repro BW issue","","","","","","","https://linear.app/canary-technologies/issue/BW-151/bug-guest-journey-is-turned-on-but-only-sending-departure-messages-not",
"Task","Standalone","Logbook","2025-3-19","Yes","configure Wyndham chat EU","","","","","","2025-03-19","",
"Task","People","Logbook","2025-3-31","","Get the team on the new system of recording daily updates","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-19","","Allow filter choort hotels by salesforceid","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-18","","Create cohort hotel modal","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-18","","Create cohort endpoint","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-21","","Bulk action on cohort hotel table.","","","","","","","* keep record of selected* When some are selected, show bulk actions** Set training** remove from cohort (if cohort)** Move to cohort",
"Task","Automate onboarding batches","Logbook","2025-3-19","","hide onboarding type in the context of a cohort detail","","","","","","","",
"Task","Standalone","Logbook","2025-4-10","","kubernetes cron jobs","","","","","","","https://drive.google.com/file/d/1Sswh8q5h6jA7AY7jZHb5RHwe7-v8NBu9/view",
"Task","Standalone","Logbook","2025-3-19","","amend this PR to target only the test locaiton ohip","","","","","","","https://github.com/canary-technologies-corp/canary/pull/22895use site ID 99999",
"Task","Standalone","Logbook","2025-3-19","","Linear project review and organization","","","","","","","",
"Task","Standalone","Logbook","2025-3-19","","Capture ""log portfolio identifiers so we can split monitoring by enterprise""","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","move AWS secrets data to onboarding values","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-21","","Update OnboardingValue when API request succeeds.","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-19","","Add useful data to the CohortTable","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-19","","During create cohort, fail to create cohort hotel if already exists on another cohort","","","","","","","* Option to override?",
"Task","Automate onboarding batches","Logbook","2025-3-21","","""Move to cohort"" in cohort hotel row context menu","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-19","","Add batches when creating cohort","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-19","","When creating a cohort, allow existing CohortHotels without a cohort to be added.","","","","","","","",
"Task","Standalone","Logbook","2025-3-19","","respond to Ani","","","","","","","https://linear.app/canary-technologies/issue/ENT-2935/wyndham-seapr-standard-configuration#comment-86e82fe8",
"Task","Standalone","Logbook","2025-5-12","Yes","Define work for ""add other perms to BW roles""?","","","","","","2025-05-11","",
"Task","Standalone","Logbook","2025-3-19","","Check wyndham chat config EU","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Put django permissions on views","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Create a response schema for OSH which combines with OSRs","","","","","","","",
"Task","Standalone","Logbook","2025-3-20","","reply to tipping ticket","","","","","","","https://linear.app/canary-technologies/issue/TIP-3766/investigate-suspicious-counts-from-enterprise-configs#comment-f360a4b9",
"Task","Standalone","Logbook","2025-3-25","Yes","Follow up on BW REST API access ""not found""","","","","","","2025-03-25","https://linear.app/canary-technologies/issue/BW-150/mobile-issue-property-19095",
"Task","Standalone","Logbook","2025-3-20","","these perms bugs","","","","","","","https://linear.app/canary-technologies/issue/ONC-10571/role-assignment-ui-not-presented-in-invite-existing-user-modal#comment-4ef32be2https://linear.app/canary-technologies/issue/ENT-2951/ux-bug-only-show-add-if-user-manager-has-more-than-one-hotel#comment-cbe80048",
"Task","Standalone","Logbook","2025-3-20","Yes","Prep blake discussion","","","","","","2025-03-20","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Datadog log links","","","","","","","",
"Task","Standalone","Logbook","2025-3-21","","How common is ""no rooms found for hotel""?","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Filter and search onboarding script hotels","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-5-13","","Logging","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Run individual OSH","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Cancel individual OSH","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-20","","Buttons to run batch","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-21","","configure onboarding values to be onboarding-type specific and load correctly based on salesforce account data.","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","non editable onb values for secrets","","","","","","","",
"Task","Standalone","Logbook","2025-5-30","","ask claude to teach advanced vue concepts","","","","","","","",
"Task","Standalone","Logbook","2025-3-24","","Process this wyndham ticket re latam upsells","","","","","","","https://linear.app/canary-technologies/issue/ENT-2953/wyndham-connect-latam",
"Task","Standalone","Logbook","2025-4-16","","Put something together for this sf source of truth thing","","","","","","","https://linear.app/canary-technologies/issue/ENT-2524/specifics-of-salesforce-source-of-truth",
"Task","Standalone","Logbook","2025-3-24","","Get triage bugs into people's sprints","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-21","","search by site id","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-6-24","","way to add manually to batches","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","""skip"" - cancel and move to next","","","","","","","",
"Task","Standalone","Logbook","2025-3-24","","Follow up on whether  email thingy fixed","","","","","","","https://linear.app/canary-technologies/issue/ENT-2961/bug-ses-sendrawemail-invalidparametervalue-error#comment-5f4151e6",
"Task","Standalone","Logbook","2025-3-21","","investiagate","","","","","","","https://linear.app/canary-technologies/issue/ENT-2971/bug-no-one-can-manage-users-on-old-permissions#comment-ca8c3ef9",
"Task","Standalone","Logbook","2025-3-24","","Help taylor user data import - should be simple/obvious","","","","","","","https://linear.app/canary-technologies/issue/ENT-2962/user-data-import-script-marriott-users",
"Task","Automate onboarding batches","Logbook","2025-9-29","","Warning of missing onboarding values","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Move wyndham twilio google sheet to onboarding values","","","","","","","",
"Task","Standalone","Logbook","2025-5-13","Yes","Review CAitlyn knowledge with a view to surfacing relvant bits to other people","","","","","","2025-05-11","https://docs.google.com/spreadsheets/d/16IBSHQ9RsfielwtvqAd1qYUBhYNb-50z56lYnefOGuA/edit?gid=1958882557#gid=1958882557",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Filter by training date","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-24","","refine the cohort batch views","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-4-2","","When move to cohort, need to create Onboarding Script Hotels","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-5-13","","Can't move to started cohort?","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-4-2","","When remove from cohort, delete OnboardingScript HOtel","","","","","","","",
"Task","Standalone","Logbook","2025-3-24","Yes","Opinionated review of rr language","","","","","","2025-03-24","https://github.com/canary-technologies-corp/canary/pull/23108",
"Task","Standalone","Logbook","2025-3-24","","Review RR twilio investigation","","","","","","","https://linear.app/canary-technologies/issue/ENT-2965/sub-accounts-not-created-for-wave-3-bw-scriptinghttps://github.com/canary-technologies-corp/canary/pull/23103/files",
"Task","Standalone","Logbook","2025-3-24","","Scope the upsells work","","","","","","","https://linear.app/canary-technologies/issue/ENT-2953/wyndham-connect-latam#comment-2456e561",
"Task","Standalone","Logbook","2025-3-25","","Change wyndham chat to use prod variables","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","prep cohorts for test deploy","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","horizontal scroll","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","Yes","read OKRs and watch loom","","","","","","2025-03-26","https://www.notion.so/canarytechnologies/Introducing-OKRs-to-EPD-Prioritization-1b7814686151803d8502cf08184511bd",
"Task","Standalone","Logbook","2025-3-24","","Country logic on onboarding","","","","","","","https://linear.app/canary-technologies/issue/ENT-2915/create-country-based-validation-rules-to-prevent-onboarding-wyndham",
"Task","Standalone","Logbook","2025-3-25","","Set hotel Preferred languages in onboarding, and check-in config sets","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Stop clicks passing through the SF account data to allow selection","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","filter cohort hotel table by ""has cohort""","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","Add dd tut to onboarding doc","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","Add wildcard to dd loggin gtut","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","Add self as maintainer of dd doc.","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","ask reschedule suds","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","remove the staging wyndham variables from Eu.ct.com","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","post EoD","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","respond rami","","","","","","","",
"Task","Standalone","Logbook","2025-3-25","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-4-23","","call hotel regarding receiving package","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","review rami and an","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","Yes","Finish automated onboarding","","","","","","2025-03-27","",
"Task","Standalone","Logbook","2025-3-26","","Loom and explanation for onboarding, and ask for review.","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","deploy onboarding value changes with script to update from aws","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","Ticket: allow plans/providers to define must-have, should-have config. Provides the basis of a check for hotels ready to go-live.","","","","","","","Extend the idea of config providers providing actual config. I.e. Wyndham enable msa provider would constuct a config, then the plan would use that to apply values. Refactor enable msa step to be more like strategy pattern.then could have a check step to verify everything is applied. OR:""Hotel is configured"" method, which could be run on all hotels",
"Task","Standalone","Logbook","2025-3-26","","send gary vandover credentials for eu","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","tests for eu onboarding","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","country gated onbaording - expand","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","Decide how to talk to Rami about what happened yseterday.","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","get on top of this onboarding situ","","","","","","","https://linear.app/canary-technologies/issue/ONC-10692/add-wyndham-eu-property-to-portolio#comment-557f35f0",
"Task","Standalone","Logbook","2025-3-26","","Review","","","","","","","",
"Task","Standalone","Logbook","2025-4-15","Yes","ozzy birthday","","","","","","2025-04-15","",
"Task","Standalone","Logbook","2025-4-14","Yes","Laura birthday","","","","","","2025-04-14","",
"Task","Standalone","Logbook","2025-3-26","","Run onboarding for jen access","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Flag missing site IDs in SF data; General data quality check for SF data before onbaord","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","Yes","Do this as part of my onboarding script changes","","","","","","2025-03-27","https://linear.app/canary-technologies/issue/ENT-3001/enable-language-selection-and-default-preference-to-spanish-for-all",
"Task","Standalone","Logbook","2025-3-26","","bookmark 2025 product strategy","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","gate UI on permissions","","","","","","","",
"Task","Administrivia","Logbook","2025-6-24","","Record loom to show how to see what failed","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","Data errors on Twilio onboarding values upload page are not good","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","validation of Autoclerk ID format - ping Caitlyn for specs on this.","","","","","","","",
"Task","Standalone","Logbook","2025-3-28","Yes","read through 2025 strategic focus in connor's doc. Alignment","","","","","","2025-03-28","",
"Task","Standalone","Logbook","2025-3-26","","Move go-live checks to onboarding service. Refactor checks to /checks folder. Move tests.","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","Do this task immeidatley - wyndham onboardings","","","","","","","https://linear.app/canary-technologies/issue/ENT-2997/add-two-wyndham-properties-to-wyndham-portfolio#comment-b7b45a26",
"Task","Standalone","Logbook","2025-3-27","Yes","Do a scripted just hatched to show off onboarding scripts","","","","","","2025-03-27","",
"Task","Automate onboarding batches","Logbook","2025-4-23","","Update training dates for BW hotels based on homebase","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","invetigate caitlyn twilio","","","","","","","",
"Task","Standalone","Logbook","2025-3-26","","ticket issue caitlyn identified","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","","Address pre-populate nonsense","","","","","","","https://linear.app/canary-technologies/issue/ENT-3008/do-not-skip-pre-populate-step-after-configure-pms",
"Task","Standalone","Logbook","2025-3-27","","Notify can delete AWs secrets - oncall ticket","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","","Give Montse “a chance to learn about kubernetes”","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","","activate Wyndham chat across the board","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","","get this log thing done","","","","","","","https://linear.app/canary-technologies/issue/ENT-2916/log-elapsed-always-logs-the-started-event-regardless-of-sample-setting",
"Task","Automate onboarding batches","Logbook","2025-4-11","","remove payment gatweway verification?","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Check brand matches type during cohort hotel import from SF","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Create cohort from selection in cohort hotels page","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-6-24","","Shouldn't have to repeat training date when bulk setting training","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-6-24","","more timezone options","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","Audit ad-hoc django groups - blake priority","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","don't allow sph values changed","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-4-11","","verify payment gateway always fails for new hotels","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Notes are useful. Add notes to cohorts.","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Quick link from onboardhing hotel to gateawy account.","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Search onboardhing hotels by wyndham site ID","","","","","","","",
"Task","Standalone","Logbook","2025-3-27","Yes","add connor to portfolio admins","","","","","","2025-03-28","",
"Task","Standalone","Logbook","2025-3-27","","Get data in monitored hotel state","","","","","","","https://linear.app/canary-technologies/issue/ENT-2986/add-data-to-staging-for-two-tables",
"Task","Automate onboarding batches","Logbook","2025-3-27","","Summary of batch state on cohort detail","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-4-11","","""tags"" for cohorts","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-31","","custom cohort capability","","","","","","","https://linear.app/canary-technologies/issue/ENT-3028/allow-custom-cohort-in-new-onboarding-ui",
"Task","Standalone","Logbook","2025-3-31","","track down tern demo","","","","","","","",
"Task","Standalone","Logbook","2025-3-28","","Fix create cohort dectivated","","","","","","","https://linear.app/canary-technologies/issue/ENT-3029/informative-error-for-cannot-create-batch-with-deactivated-hotel",
"Task","Standalone","Logbook","2025-3-28","","EU onboardings prep and comms","","","","","","","https://linear.app/canary-technologies/issue/ENT-2999/create-properties-in-canary-for-wyndham-international-training-signups#comment-665c05b8",
"Task","Standalone","Next","2025-3-28","Yes","Do this ticket fix","","","","","","","https://linear.app/canary-technologies/issue/ENT-3031/receiving-an-error-when-trying-to-create-a-new-account-for-pyramid",
"Task","Standalone","Logbook","2025-3-28","","Scope for ryan","","","","","","","https://linear.app/canary-technologies/issue/ENT-3014/filter-cohorthoteltable-by-training-datehttps://linear.app/canary-technologies/issue/ENT-3016/classify-certain-onboardingvalue-types-as-secret",
"Project","Standalone","Active","","","People","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-28","","Do this as part of onboarding general onboarding tool imprevments","","","","","","","https://linear.app/canary-technologies/issue/ENT-3016/classify-certain-onboardingvalue-types-as-secret",
"Task","Standalone","Logbook","2025-3-28","","jfdi","","","","","","","https://linear.app/canary-technologies/issue/ENT-2884/make-it-easier-to-manipulate-accountvalidation-instances-in-gateway",
"Task","Standalone","Logbook","2025-3-28","","jfdi","","","","","","","https://linear.app/canary-technologies/issue/ENT-2591/posting-an-sf-account-id-to-the-add-products-endpoint-causes-an",
"Task","Standalone","Logbook","2025-3-28","","verify wyndham chat and notify","","","","","","","",
"Task","Standalone","Logbook","2025-3-28","","Add call to full clean from save in automate onboarding.","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-31","","Ability to remove plan from onboarding batch","","","","","","","click ""x"" on the pill",
"Task","Automate onboarding batches","Logbook","2025-3-31","","link from cohort hotel to hotel in canary","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-3-31","","link from onboarding script hotel to canary hotel","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","review email","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","review linear","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","review slack","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","Review connor's goal presentation and make intelligent comments","","","","","","","https://www.notion.so/canarytechnologies/Connor-Gareth-1ae8146861518002b563c3fc97fca9f3#1c481468615180b39893d052f0069885",
"Task","Standalone","Logbook","2025-3-31","","review hackathon projects","","","","","","","https://www.notion.so/canarytechnologies/43-05-2025-Spring-Eng-Retreat-Hackathon-1be81468615180f783b3d1289544749e",
"Task","Standalone","Logbook","2025-3-31","","Review ryan terraform","","","","","","","https://github.com/canary-technologies-corp/canary-terraform/pull/2915#issuecomment-2759789845",
"Task","Standalone","Logbook","2025-3-31","","review leandro","","","","","","","https://github.com/canary-technologies-corp/canary/pull/23314",
"Task","Standalone","Logbook","2025-3-31","","non-US onboarding scripts","","","","","","","https://linear.app/canary-technologies/issue/ENT-2999/create-properties-in-canary-for-wyndham-international-training-signups#comment-35859f80",
"Task","Standalone","Logbook","2025-3-31","","Investigate onboarding failure","","","","","","","https://linear.app/canary-technologies/issue/INT-4330/no-guest-showing-in-pending-in-check-in#comment-077d9e2a",
"Task","Standalone","Logbook","2025-3-31","","Dazzler and Esplendor properties. These properties failed as expected because we do not have their brand data","","","","","","","",
"Task","Standalone","Logbook","2025-3-31","","Book restaurant for edinburgh dinner","","","","","","","tattuhawksmoorBread streetivy on square",
"Task","Standalone","Next","2025-4-2","Yes","Order Doughnuts for caitlyn tomorrow","","","","","","2025-04-02","",
"Task","Standalone","Logbook","2025-4-3","Yes","Update this ticket from Blake notes, and bring up in sync","","","","","","2025-04-01","https://linear.app/canary-technologies/issue/ENT-2990/guldsmeden-group-blacklist-guest-request",
"Task","Automate onboarding batches","Logbook","2025-4-23","","Create historic cohorts?","","","","","","","",
"Task","Standalone","Logbook","2025-4-9","Yes","Create plans for 1-1 time with teammates in ED","","","","","","2025-04-07","",
"Task","Standalone","Logbook","2025-4-1","","fxi jen's onboarding issues","","","","","","","",
"Task","Standalone","Logbook","2025-4-2","","Improve cohort tools","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-5-13","","pre-onboarding check-list","","","","","","","SF IDOpportunityPMS codes",
"Task","Standalone","Next","2025-4-1","Yes","ticket Caitlyn's suggsetions for Cohorts","","","","","","","",
"Task","Standalone","Logbook","2025-4-1","","Fix flake","","","","","","","",
"Task","Standalone","Logbook","2025-4-1","","Eu impersonation","","","","","","","",
"Reference List","Standalone","Reference","","","Talk to Ani and Sharon abotu pinging MP directly","","","","","","","",
"Task","Standalone","Logbook","2025-4-23","","Talk to sharon/ani about pinging Montse direclty","","","","","","","",
"Task","Standalone","Logbook","2025-4-3","Yes","SErious planning on amt of work for q2 commitments","","","","","","2025-04-03","",
"Task","Standalone","Logbook","2025-4-3","","Thoughtful response to Ryan","","","","","","","https://linear.app/canary-technologies/issue/ENT-2897/investigate-whether-we-could-stop-serializing-external-id-in-zendesk#comment-fbaab9aeDo we want to complicate this or just let shared emails share a Zendesk account?",
"Task","Standalone","Logbook","2025-4-7","","thoughtful response to k?C on permissions issues","","","","","","","https://linear.app/canary-technologies/issue/ONC-10865/unable-to-create-user#comment-67535af2",
"Task","Standalone","Logbook","2025-4-2","","Figure out what the hell going on here with BW/Wyndham","","","","","","","https://linear.app/canary-technologies/issue/ENT-3061/ai-is-treating-a-bw-as-a-wyndhamhttps://canarytechnologies.slack.com/archives/C07BX379GQK/p1743546475750709",
"Task","Standalone","Logbook","2025-4-3","","What the fuck is hte go live schedule during retreat week?","","","","","","","",
"Task","Standalone","Logbook","2025-4-4","","reviews","","","","","","","",
"Task","Standalone","Logbook","2025-4-6","Yes","Laura management assessment -> blake for pre-read","","","","","","2025-04-04","",
"Task","Standalone","Logbook","2025-4-3","","Ticket Portfolio exclusivity","","","","","","","",
"Task","Standalone","Logbook","2025-4-3","","verify this document is reflected in ONB scripts","","","","","","","https://docs.google.com/document/d/1Q6flnDeUyIJvLo3h9hWoFrjHfiND3GXc/edit",
"Task","Standalone","Logbook","2025-4-3","","OKR work","","","","","","","https://www.notion.so/canarytechnologies/Connor-Gareth-1ae8146861518002b563c3fc97fca9f3?d=1c98146861518045be28001cf3249bb7#1c981468615180e3a028df6e344afec0",
"Task","Standalone","Logbook","2025-4-3","","Investigate portfolio non-exclusivity among MSAs - script to identify and fix","","","","","","","",
"Task","Standalone","Logbook","2025-4-4","Yes","Prep demo onboarding Frdiay","","","","","","2025-04-04","",
"Task","Standalone","Logbook","2025-4-3","","Follow up CS onboarding issues","","","","","","","",
"Task","Standalone","Logbook","2025-4-3","","Twilio investigation","","","","","","","https://canarytechnologies.slack.com/archives/C047K6WSUJY/p1743632330634719",
"Task","Standalone","Logbook","2025-4-6","","How does has_addons get turned on in the onboarding flows??","","","","","","","",
"Task","Standalone","Logbook","2025-4-22","Yes","Is there any downside to re-evaluate messages? Why not just always do it?","in-person","","","","","2025-04-21","",
"Task","Standalone","Logbook","2025-4-3","","Sprint planning","","","","","","","",
"Task","Automate onboarding batches","Logbook","2025-5-13","","Idiot proof cohort creation","","","","","","","Auto select limit to brand",
"Task","Standalone","Logbook","2025-4-3","","Re-run get rooms","","","","","","","",
"Task","Standalone","Logbook","2025-4-3","","Loyalty auto-enrol set up for LATAM","","","","","","","",
